nome,preco,loja,url,categoria
"Notebook Gamer Predator Helios Neo 16 AI, Intel Core Ultra 7 255HX, 16GB RAM, SSD 512GB, RTX 5070, Tela 16"" WQXGA, Windows 11 Home - PHN16-73-76TF",12349.05,Kabum,https://www.kabum.com.br/produto/989341/notebook-gamer-predator-helios-neo-16-ai-intel-core-ultra-7-255hx-16gb-ram-rtx-5070-8gb-ssd-512gb-tela-16-windows-11-home,notebook
"Notebook Lenovo Ideapad 1 Amd Ryzen 5 7520u 8GB 512gb SSD Linux 15"" - 82x5s00700",3757.21,Kabum,https://www.kabum.com.br/produto/1058801/notebook-lenovo-ideapad-1-amd-ryzen-5-7520u-8gb-512gb-ssd-linux-15-82x5s00700,notebook
"Notebook Acer Aspire Go 15 AG15-51P-564V, Intel Core i5-1334U, 16GB RAM, Intel Iris Xe, SSD 512GB, 15.6"" FHD, Win 11, Azul - NX.JGFAL.006",5999.0,Kabum,https://www.kabum.com.br/produto/1066358/notebook-acer-aspire-go-15-ag15-51p-564v-intel-core-i5-1334u-16gb-ram-intel-iris-xe-ssd-512gb-15-6-fhd-win-11-azul-nx-jgfal-006,notebook
"Notebook Asus Tuf Gamer F16 Fx607vu Nvidia RTX 4050 Intel Core 5 210h 16gb Ram 512gb SSD Linux 16"" Lcd LED Fhd Nível Ips 144 Hz Rl385",6799.06,Kabum,https://www.kabum.com.br/produto/1042928/notebook-asus-tuf-gamer-f16-fx607vu-nvidia-rtx-4050-intel-core-5-210h-16gb-ram-512gb-ssd-linux-16-lcd-led-fhd-nivel-ips-144-hz-rl385,notebook
"Notebook Gamer Predator Helios Neo 16 AI, Intel Core Ultra 9 275HX, 32GB RAM, SSD 1TB, RTX 5070, Tela 16"" WQXGA 240Hz, Windows 11 Home - PHN16-73-96SW",14399.1,Kabum,https://www.kabum.com.br/produto/996095/notebook-gamer-predator-helios-neo-16-ai-phn16-73-96sw-intel-core-ultra-9-275hx-32gb-ram-1tb-ssd-rtx-5070-16-,notebook
"Notebook Dell 15 Dc15-i51334u-u50 15.6"" Full Hd 13ª Gen Intel Core i5 8GB 512gb SSD Linux Preto Carbono",5141.88,Kabum,https://www.kabum.com.br/produto/1028019/notebook-dell-15-dc15-i51334u-u50-15-6-full-hd-13-gen-intel-core-i5-8gb-512gb-ssd-linux-preto-carbono,notebook
"Notebook Samsung Galaxy Book4, Intel Core I5, 8GB, SSD 512, Tela 15.6"" Full HD LED, Windows 11 Home, Grafite",4049.1,Kabum,https://www.kabum.com.br/produto/586397/notebook-samsung-galaxy-book4-intel-core-i5-8gb-ssd-512-tela-15-6-full-hd-led-windows-11-home-grafite,notebook
"Notebook Lenovo IdeaPad Slim 3i, Core I5 13420H, 8GB RAM, 512GB, Tela 15.3"" FHD, Win11 - 83NS0002BR",4999.0,Kabum,https://www.kabum.com.br/produto/876251/notebook-lenovo-ideapad-slim-3i-core-i5-13420h-8gb-ram-512gb-tela-15-3-fhd-win11-83ns0002br,notebook
"Notebook Acer Aspire Go 15  AG15-71P-76A7 intel core I7 13º Geração 32GB RAM, 512GB SSD, FULL HD LED TN UHD, Linux - NX.JH6AL.009",6990.0,Kabum,https://www.kabum.com.br/produto/1052552/notebook-acer-aspire-go-15-ag15-71p-76a7-intel-core-i7-13-geracao-32gb-ram-512gb-ssd-full-hd-led-tn-uhd-linux-nx-jh6al-009,notebook
"Notebook Acer Aspire Go 15 AG15-71P-753G, Intel Core i7-13620H, 8GB RAM, SSD 256GB, 15.6"" Full HD, Linux, Verde escuro - NX.JH6AL.008",5999.99,Kabum,https://www.kabum.com.br/produto/1033627/notebook-acer-aspire-go-15-ag15-71p-753g-intel-core-i7-13620h-8gb-ram-ssd-256gb-15-6-full-hd-linux-verde-escuro-nx-jh6al-008,notebook
"Notebook Gamer Acer Nitro V15, Intel Core i7-13620H 13ª Geração, 16GB RAM, SSD 512GB, RTX 4060, Tela 15.6"" Full HD 165Hz, Linux - ANV15-52-790M",8099.1,Kabum,https://www.kabum.com.br/produto/912258/notebook-gamer-acer-nitro-v15-intel-core-i7-13620h-13-geracao-16gb-ram-ssd-512gb-rtx-4060-tela-15-6-full-hd-165hz-linux-anv15-52-790m,notebook
"Notebook Acer Nitro V15  ANV15-52-77BG intel core I7 13º Geração, RTX 4050, 16GB RAM, 512GB SSD, FULL HD LED IPS, Windows 11 - NH.U0CAL.004",10641.6,Kabum,https://www.kabum.com.br/produto/1052553/notebook-acer-nitro-v15-anv15-52-77bg-intel-core-i7-13-geracao-rtx-4050-16gb-ram-512gb-ssd-full-hd-led-ips-windows-11-nh-u0cal-004,notebook
"Notebook Gamer Lenovo LOQ, i5-12450HX, 16GB DDR5, 1TB SSD, RTX 4050 6GB, 15.6"" FHD, W11, Cinza - 83ME0001BR",8318.83,Kabum,https://www.kabum.com.br/produto/910589/notebook-gamer-lenovo-loq-i5-12450hx-16gb-ddr5-1tb-ssd-rtx-4050-6gb-15-6-fhd-w11-cinza-83me0001br,notebook
