nome,url,preco_texto,categoria,loja
"Suporte para monitor articulado com pistão a gás, 17 a 35, F80N, Elg - CX 1 UN",https://www.kalunga.com.br/prod/suporte-para-monitor-articulado-com-pistao-a-gas-17-a-35-f80n-elg-cx-1-un/665439,"R$ 221,90",notebook,kalunga
"Suporte para notebook em alumínio, Preto, LSA4, Ergo - CX 1 UN",https://www.kalunga.com.br/prod/suporte-para-notebook-em-aluminio-preto-lsa4-ergo-cx-1-un/666063,"R$ 66,90",notebook,kalunga
"Base para notebook com ajuste de altura, 1 cooler, LC1E, Ergo - CX 1 UN",https://www.kalunga.com.br/prod/base-para-notebook-com-ajuste-de-altura-1-cooler-lc1e-ergo-cx-1-un/004554,"R$ 89,90",notebook,kalunga
"Teclado para Tablet com capa hybrid, para tablets de 10,9 a 11, GS-11480, Gshield CX 1 UN",https://www.kalunga.com.br/prod/teclado-para-tablet-com-capa-hybrid-para-tablets-de-10-9-a-11-gs-11480-gshield-cx-1-un/444008,"R$ 329,00",notebook,kalunga
"Monitor LED Tela de 20 Widescreen, HDMI / VGA, Atualização 75Hz, Tempo de Resposta 8ms, Preto, MBRX201BK, BRX - CX 1 UN",https://www.kalunga.com.br/prod/monitor-led-tela-de-20-widescreen-hdmi-vga-atualizacao-75hz-tempo-de-resposta-8ms-preto-mbrx201bk-brx-cx-1-un/476860," R$ 339,40 à vista",notebook,kalunga
"Monitor Gamer LED Curvo, Full HD, Tela de 24, Taxa de Atualização 100Hz, Tempo de resposta 5ms, RGB, Conexões HDMI e Displayport, Preto, MGLED24BRX,  Brx - CX 1 UN",https://www.kalunga.com.br/prod/monitor-gamer-led-curvo-full-hd-tela-de-24-taxa-de-atualizacao-100hz-tempo-de-resposta-5ms-rgb-conexoes-hdmi-e-displayport-preto-mgled24brx-brx-cx-1-un/476862," R$ 804,13 à vista",notebook,kalunga
Suporte p/notebook UpTable preto UP-BL Octoo CX 1 UN,https://www.kalunga.com.br/prod/suporte-paranotebook-uptable-preto-up-bl-octoo-cx-1-un/665987,"R$ 49,90",notebook,kalunga
"Suporte para notebook em Plástico, Preto, LSP14, Ergo - CX 1 UN",https://www.kalunga.com.br/prod/suporte-para-notebook-em-plastico-preto-lsp14-ergo-cx-1-un/666094,"R$ 49,90",notebook,kalunga
"Fonte de alimentação para notebook, Usb-c, Bivolt, 65w, Elgin CX 1 UN",https://www.kalunga.com.br/prod/fonte-de-alimentacao-para-notebook-usb-c-bivolt-65w-elgin-cx-1-un/281503,"R$ 139,00",notebook,kalunga
"Suporte Ergonômico para Notebook em Alumínio LS100 com Ajuste de altura, Ergo - CX 1 UN",https://www.kalunga.com.br/prod/suporte-ergonomico-para-notebook-em-aluminio-ls100-com-ajuste-de-altura-ergo-cx-1-un/666102,"R$ 219,00",notebook,kalunga
"Fonte de alimentação universal para notebook, bivolt, 90w, Elgin - CX 1 UN",https://www.kalunga.com.br/prod/fonte-de-alimentacao-universal-para-notebook-bivolt-90w-elgin-cx-1-un/281504,"R$ 139,00",notebook,kalunga
"Capa luva para notebook, 15 polegadas, Preta, HY-T012-8, UP PT 1 UN",https://www.kalunga.com.br/prod/capa-luva-para-notebook-15-polegadas-preta-hy-t012-8-up-pt-1-un/441197,"R$ 89,90",notebook,kalunga
"Capa luva para Notebook até 15 em neoprene, Preta, Up PT 1 UN",https://www.kalunga.com.br/prod/capa-luva-para-notebook-ate-15-em-neoprene-preta-up-pt-1-un/163617,"R$ 109,90",notebook,kalunga
"Caderno de Disco Brief Executive Cinza, Grande (200×275 mm) com 80 Folhas Pautadas Gramatura 90g Spiral Brf Ex - PT 1 UN",https://www.kalunga.com.br/prod/caderno-de-disco-brief-executive-cinza-grande-200275-mm-com-80-folhas-pautadas-gramatura-90g-spiral-brf-ex-pt-1-un/010282,"R$ 99,90",notebook,kalunga
"Base para notebook com ajuste de altura, 2 coolers, LC2E, Ergo - CX 1 UN",https://www.kalunga.com.br/prod/base-para-notebook-com-ajuste-de-altura-2-coolers-lc2e-ergo-cx-1-un/004556,"R$ 99,90",notebook,kalunga
"Monitor LED Portátil, Tela de 15,6, FHD, 6ms, 60hz, PM161Q, Acer - CX 1 UN",https://www.kalunga.com.br/prod/monitor-led-portatil-tela-de-15-6-fhd-6ms-60hz-pm161q-acer-cx-1-un/476865," R$ 688,60 à vista",notebook,kalunga
"Suporte para notebook em alumínio, Branco, LSA4, Ergo - CX 1 UN",https://www.kalunga.com.br/prod/suporte-para-notebook-em-aluminio-branco-lsa4-ergo-cx-1-un/666092,"R$ 66,90",notebook,kalunga
"Mochila para Notebook de até 15.6 City, TSB89004, Targus - PT 1 UN",https://www.kalunga.com.br/prod/mochila-para-notebook-de-ate-15-6-city-tsb89004-targus-pt-1-un/441106,"R$ 227,30",notebook,kalunga
"Mochila para notebook de até 16 em poliéster, Smithson, Preta, Samsonite - PT 1 UN",https://www.kalunga.com.br/prod/mochila-para-notebook-de-ate-16-em-poliester-smithson-preta-samsonite-pt-1-un/430572,"R$ 359,00",notebook,kalunga
"Mochila para notebook até 17 vnb217 preta 3200980, Case Logic - PT 1 UN",https://www.kalunga.com.br/prod/mochila-para-notebook-ate-17-vnb217-preta3200980-case-logic-pt-1-un/441132,"R$ 343,80",notebook,kalunga
"Suporte para monitor retangular, Preto, LZ-322, App-Tech CX 1 UN",https://www.kalunga.com.br/prod/suporte-para-monitor-retangular-preto-lz-322-app-tech-cx-1-un/666133,"R$ 69,90",notebook,kalunga
"Suporte para Notebook em alumínio de até 17 polegadas, Y-N8, Ergo CX 1 UN",https://www.kalunga.com.br/prod/suporte-para-notebook-em-aluminio-de-ate-17-polegadas-y-n8-ergo-cx-1-un/666075,"R$ 129,90",notebook,kalunga
"Suporte Ergonômico para Notebook em Alumínio LC200 com 1 Cooler, Ergo - CX 1 UN",https://www.kalunga.com.br/prod/suporte-ergonomico-para-notebook-em-aluminio-lc200-com-1-cooler-ergo-cx-1-un/666100,"R$ 319,90",notebook,kalunga
Capa luva para notebook 15.6 laps116 Case Logic CX 1 UN,https://www.kalunga.com.br/prod/capa-luva-para-notebook-15-6-laps116-case-logic-cx-1-un/440199,"R$ 192,90",notebook,kalunga
"Caneta para aparelhos touch screen, Branca, 9542, Md9 - CX 1 UN",https://www.kalunga.com.br/prod/caneta-para-aparelhos-touch-screen-branca-9542-md9-cx-1-un/443384,"R$ 31,90",notebook,kalunga
"Cofre eletrônico p/ Notebook 22,9x40,5x33,5cm 23 ETW Safewell CX 1 UN",https://www.kalunga.com.br/prod/cofre-eletronico-para-notebook-22-9x40-5x33-5cm-23-etw-safewell-cx-1-un/379128,"R$ 789,90",notebook,kalunga
"Suporte para tablet de até 11 polegadas, base giratória, Cinza, YN261, Ergo CX 1 UN",https://www.kalunga.com.br/prod/suporte-para-tablet-de-ate-11-polegadas-base-giratoria-cinza-yn261-ergo-cx-1-un/666074,"R$ 54,90",notebook,kalunga
Caderno de Disco Snoopy Grande (200×275 mm) com 80 Folhas Pautadas Gramatura 90g Spiral Sno - PT 1 UN,https://www.kalunga.com.br/prod/caderno-de-disco-snoopy-grande-200275-mm-com-80-folhas-pautadas-gramatura-90g-spiral-sno-pt-1-un/010266,"R$ 99,90",notebook,kalunga
"Maleta para notebook 15.6 Preta, 3203988, Case Logic - CX 1 UN",https://www.kalunga.com.br/prod/maleta-para-notebook-15-6-preta-3203988-case-logic-cx-1-un/440195,"R$ 378,40",notebook,kalunga
"Capa luva para Notebook até 14 em neoprene, Preta, Up PT 1 UN",https://www.kalunga.com.br/prod/capa-luva-para-notebook-ate-14-em-neoprene-preta-up-pt-1-un/163612,"R$ 99,90",notebook,kalunga
"Mochila para notebook até 15 polegadas em poliéster, Lilás Pastel, Up - PT 1 UN",https://www.kalunga.com.br/prod/mochila-para-notebook-ate-15-polegadas-em-poliester-lilas-pastel-up-pt-1-un/430515,"R$ 179,90",notebook,kalunga
"Base para notebook com ajuste de altura, 4 coolers, LC4E, Ergo - CX 1 UN",https://www.kalunga.com.br/prod/base-para-notebook-com-ajuste-de-altura-4-coolers-lc4e-ergo-cx-1-un/004558,"R$ 129,90",notebook,kalunga
Fonte alimentação universal p/ notebook bivolt 90w UN890 BestBattery CX 1 UN,https://www.kalunga.com.br/prod/fonte-alimentacao-universal-para-notebook-bivolt-90w-un890-bestbattery-cx-1-un/281500,"R$ 129,00",notebook,kalunga
"Capa luva para notebook, 15 polegadas, Cinza, HY-T012-8, Up - PT 1 UN",https://www.kalunga.com.br/prod/capa-luva-para-notebook-15-polegadas-cinza-hy-t012-8-up-pt-1-un/441199,"R$ 89,90",notebook,kalunga
"Mochila para notebook até 15 polegadas, Poliéster, Azul Pastel, Baohua - PT 1 UN",https://www.kalunga.com.br/prod/mochila-para-notebook-ate-15-polegadas-poliester-azul-pastel-baohua-pt-1-un/773604,"R$ 179,90",notebook,kalunga
"Suporte para notebook em alumínio com apoio para celular, Branco, LSA6, Ergo - CX 1 UN",https://www.kalunga.com.br/prod/suporte-para-notebook-em-aluminio-com-apoio-para-celular-branco-lsa6-ergo-cx-1-un/666093,"R$ 88,90",notebook,kalunga
